subscription_name,billing_cycle,amount_paid,usage_ratio,awareness_score,necessity_score,has_perks,waste_score,usage_frequency_answer,awareness_answer,necessity_answer
Educational Hub,yearly,1541.36,0.834,1,4,1,32.1,daily,forget,nice_to_have
Dating App,monthly,4853.76,0.89,6,1,0,34.4,rarely,sometimes_notice,fun
Netflix,monthly,4156.71,0.738,2,2,0,38.7,rarely,sometimes_notice,essential
Gaming Pass,yearly,1229.86,0.32,8,4,0,54.0,once_twice_week,forget,essential
YouTube Premium,yearly,2014.92,0.292,5,7,0,63.1,daily,forget,fun
Wine Club,monthly,4136.14,0.186,8,10,0,61.2,few_times_month,forget,essential
Adobe CC,yearly,3772.54,0.025,2,3,0,91.5,once_twice_week,sometimes_notice,essential
Wine Club,monthly,2602.14,0.915,10,9,0,15.5,rarely,sometimes_notice,fun
Spotify,monthly,1590.4,0.942,2,9,0,26.7,cant_remember,sometimes_notice,fun
Amazon Prime,monthly,2579.91,0.462,2,7,0,57.0,rarely,always_notice,nice_to_have
Wine Club,monthly,389.38,0.933,5,6,0,17.9,few_times_month,forget,nice_to_have
Zomato Gold,yearly,651.38,0.484,6,8,0,42.4,rarely,forget,nice_to_have
Educational Hub,yearly,2970.11,0.314,7,4,1,50.6,once_twice_week,sometimes_notice,essential
Wine Club,monthly,205.54,0.611,5,5,0,38.8,daily,sometimes_notice,nice_to_have
YouTube Premium,monthly,3075.69,0.637,6,1,0,38.0,few_times_month,always_notice,nice_to_have
Wine Club,monthly,224.02,0.586,3,7,1,36.2,daily,sometimes_notice,nice_to_have
Adobe CC,yearly,1920.87,0.648,7,7,0,37.8,rarely,always_notice,nice_to_have
Gym Membership,monthly,4263.82,0.038,1,5,0,91.2,few_times_week,forget,fun
Dating App,yearly,4906.46,0.558,4,9,0,46.8,rarely,sometimes_notice,essential
Zomato Gold,yearly,1085.69,0.866,1,6,0,32.5,cant_remember,sometimes_notice,fun
Spotify,yearly,2521.8,0.741,7,3,0,41.8,few_times_week,sometimes_notice,essential
Cloud Storage,monthly,1209.82,0.677,7,4,1,28.2,daily,forget,nice_to_have
Netflix,monthly,696.42,0.257,9,2,0,55.9,few_times_month,always_notice,nice_to_have
Newspaper,monthly,2164.17,0.363,8,9,0,51.9,few_times_month,sometimes_notice,fun
Spotify,monthly,771.02,0.272,6,7,0,57.9,once_twice_week,sometimes_notice,fun
Netflix,monthly,1912.42,0.0,4,1,0,88.0,once_twice_week,sometimes_notice,fun
Spotify,yearly,3155.68,0.219,1,10,0,74.6,cant_remember,sometimes_notice,essential
Software License,yearly,1509.81,0.631,4,4,0,37.6,rarely,always_notice,essential
YouTube Premium,yearly,2511.53,0.575,5,1,0,53.8,daily,forget,essential
Adobe CC,yearly,208.78,0.476,1,3,0,58.6,rarely,forget,nice_to_have
Cloud Storage,monthly,529.61,0.077,5,1,0,77.0,few_times_month,sometimes_notice,fun
Adobe CC,monthly,2049.92,0.949,8,5,0,17.0,daily,sometimes_notice,nice_to_have
Zomato Gold,monthly,4921.03,0.419,9,8,0,49.2,rarely,forget,nice_to_have
Educational Hub,monthly,4420.59,0.666,7,3,1,32.7,daily,forget,fun
Zomato Gold,yearly,3478.64,0.053,5,6,0,84.4,cant_remember,forget,fun
Netflix,monthly,4711.89,0.274,3,4,1,58.8,cant_remember,always_notice,fun
Zomato Gold,monthly,3130.26,0.261,6,4,0,67.7,cant_remember,sometimes_notice,fun
LinkedIn Premium,monthly,2624.87,0.211,1,3,1,67.5,few_times_week,forget,fun
Cloud Storage,yearly,499.0,0.057,5,4,0,75.6,rarely,forget,essential
YouTube Premium,yearly,1852.28,0.067,8,3,0,71.8,few_times_week,sometimes_notice,essential
Netflix,monthly,4614.94,0.745,8,8,1,24.8,rarely,always_notice,nice_to_have
LinkedIn Premium,yearly,920.26,0.537,5,4,1,35.3,cant_remember,sometimes_notice,essential
Dating App,yearly,4290.7,0.459,8,3,0,55.4,few_times_month,forget,essential
Netflix,yearly,3371.73,0.118,5,8,1,61.5,once_twice_week,forget,essential
Spotify,monthly,4469.64,0.946,8,1,0,24.8,daily,always_notice,nice_to_have
Gym Membership,yearly,2160.45,0.78,10,9,1,19.1,daily,sometimes_notice,nice_to_have
Disney+,yearly,803.1,0.945,4,4,0,23.0,daily,forget,nice_to_have
Gym Membership,monthly,1157.27,0.548,5,9,1,32.4,daily,sometimes_notice,essential
Gaming Pass,yearly,3620.02,0.387,7,7,1,44.2,once_twice_week,always_notice,fun
Spotify,yearly,1027.86,0.37,8,2,0,56.1,few_times_month,always_notice,nice_to_have
Educational Hub,monthly,237.31,0.729,10,7,0,21.5,daily,sometimes_notice,nice_to_have
Adobe CC,yearly,1121.78,0.84,9,1,0,23.8,once_twice_week,sometimes_notice,fun
LinkedIn Premium,monthly,3777.91,0.695,10,7,1,24.2,rarely,forget,fun
Software License,monthly,3474.22,0.335,9,3,0,58.3,rarely,always_notice,nice_to_have
Zomato Gold,monthly,4903.15,0.8,8,7,0,27.0,cant_remember,forget,nice_to_have
Wine Club,yearly,4674.69,0.746,2,1,0,40.3,few_times_week,sometimes_notice,essential
Educational Hub,monthly,499.4,0.956,2,9,0,21.1,cant_remember,always_notice,essential
Adobe CC,yearly,1780.71,0.054,4,2,0,81.0,once_twice_week,forget,essential
Cloud Storage,yearly,2674.27,0.658,1,7,0,40.0,few_times_week,sometimes_notice,fun
YouTube Premium,monthly,4958.04,0.922,2,3,0,40.0,once_twice_week,forget,essential
Cloud Storage,monthly,2093.06,0.213,5,5,1,55.7,few_times_week,sometimes_notice,fun
Educational Hub,monthly,2338.88,0.193,2,10,0,72.2,rarely,forget,fun
Dating App,monthly,2883.5,0.85,8,5,0,25.8,few_times_week,always_notice,nice_to_have
LinkedIn Premium,monthly,3393.88,0.123,3,6,0,79.3,few_times_month,sometimes_notice,essential
Spotify,yearly,3515.69,0.588,5,9,0,46.3,few_times_month,forget,fun
YouTube Premium,monthly,1173.85,0.064,7,4,1,57.1,rarely,always_notice,fun
Disney+,yearly,2907.49,0.427,4,10,0,56.8,few_times_week,forget,essential
Software License,monthly,137.13,0.07,1,9,0,74.2,few_times_week,sometimes_notice,essential
Adobe CC,yearly,4769.9,0.725,10,8,1,21.9,few_times_month,forget,fun
Software License,monthly,1476.84,0.36,3,7,1,48.3,cant_remember,forget,nice_to_have
Amazon Prime,yearly,4990.65,0.674,1,1,1,41.6,rarely,always_notice,nice_to_have
Cloud Storage,yearly,2445.96,0.959,8,3,0,23.6,daily,always_notice,nice_to_have
Adobe CC,monthly,3249.6,0.218,2,6,0,74.9,cant_remember,forget,essential
Software License,monthly,2341.93,0.451,4,8,1,44.0,daily,forget,essential
Netflix,yearly,2658.51,0.575,6,3,1,38.3,once_twice_week,forget,essential
Software License,monthly,3370.03,0.508,1,10,1,46.3,daily,sometimes_notice,fun
Newspaper,yearly,1670.14,0.122,2,9,0,75.6,rarely,always_notice,nice_to_have
Software License,monthly,3210.17,0.683,4,10,1,33.7,cant_remember,sometimes_notice,nice_to_have
Disney+,yearly,693.31,0.391,10,3,1,37.9,once_twice_week,always_notice,fun
Netflix,monthly,970.55,0.04,4,1,0,81.4,rarely,forget,essential
Software License,monthly,3639.97,0.02,10,7,0,71.9,rarely,sometimes_notice,essential
Amazon Prime,monthly,936.4,0.731,6,10,0,29.3,few_times_month,forget,fun
Netflix,monthly,185.48,0.145,9,9,0,54.6,once_twice_week,sometimes_notice,essential
Software License,monthly,1287.28,0.221,7,6,1,47.2,daily,always_notice,essential
Gym Membership,yearly,583.24,0.497,6,10,0,38.7,few_times_week,sometimes_notice,nice_to_have
Amazon Prime,yearly,4472.07,0.656,7,2,1,35.4,daily,sometimes_notice,nice_to_have
Amazon Prime,yearly,4896.97,0.651,9,4,1,30.4,few_times_month,forget,fun
Netflix,yearly,4317.85,0.998,10,7,0,14.5,daily,forget,fun
Gaming Pass,monthly,2880.56,0.072,1,1,0,93.1,once_twice_week,forget,nice_to_have
Zomato Gold,monthly,879.12,0.172,9,9,0,54.9,few_times_week,always_notice,essential
LinkedIn Premium,yearly,3418.55,0.971,10,5,1,14.7,cant_remember,forget,fun
Newspaper,yearly,1267.55,0.519,1,1,1,46.5,cant_remember,sometimes_notice,essential
Gym Membership,yearly,3574.47,0.095,9,10,0,66.5,once_twice_week,forget,nice_to_have
Spotify,monthly,2229.53,0.898,6,5,0,27.2,few_times_week,sometimes_notice,nice_to_have
Cloud Storage,monthly,332.89,0.998,7,6,0,10.6,once_twice_week,always_notice,fun
Newspaper,yearly,4958.4,0.327,5,8,0,62.6,daily,forget,fun
Cloud Storage,monthly,2809.37,0.142,5,9,0,74.4,once_twice_week,sometimes_notice,fun
Software License,monthly,2512.55,0.479,5,2,1,47.4,few_times_month,always_notice,essential
Spotify,yearly,770.49,0.536,5,7,0,42.5,daily,forget,fun
Cloud Storage,yearly,358.99,0.163,7,1,0,66.6,few_times_month,sometimes_notice,essential
Zomato Gold,monthly,764.93,0.522,3,8,1,38.3,daily,always_notice,essential
Gaming Pass,yearly,1917.1,0.881,7,1,0,28.9,daily,forget,essential
Amazon Prime,monthly,1664.35,0.937,9,1,1,14.1,rarely,forget,fun
Cloud Storage,yearly,3158.47,0.847,5,1,0,40.2,daily,forget,fun
Educational Hub,monthly,828.54,0.7,10,9,0,22.4,once_twice_week,sometimes_notice,essential
LinkedIn Premium,monthly,4054.11,0.065,7,10,0,70.7,once_twice_week,always_notice,fun
Netflix,monthly,1406.74,0.893,1,8,0,29.3,rarely,always_notice,fun
Amazon Prime,monthly,4928.87,0.668,4,8,0,40.5,rarely,forget,essential
Newspaper,monthly,866.89,0.992,2,4,1,18.7,few_times_week,forget,nice_to_have
Gym Membership,monthly,233.33,0.463,5,2,1,40.8,cant_remember,always_notice,nice_to_have
Spotify,monthly,2736.33,0.116,7,2,1,61.3,rarely,sometimes_notice,essential
Netflix,monthly,1555.4,0.453,7,1,0,54.1,rarely,sometimes_notice,fun
Dating App,yearly,4848.88,0.338,9,3,1,47.4,once_twice_week,sometimes_notice,nice_to_have
Dating App,monthly,475.52,0.147,7,6,1,48.7,once_twice_week,sometimes_notice,essential
Cloud Storage,yearly,1729.95,0.936,4,2,0,28.3,daily,sometimes_notice,fun
LinkedIn Premium,monthly,4158.98,0.855,7,10,0,24.2,few_times_week,always_notice,essential
Adobe CC,yearly,1505.44,0.445,8,10,1,33.3,few_times_month,forget,essential
YouTube Premium,yearly,997.83,0.737,8,2,0,31.3,rarely,sometimes_notice,essential
Educational Hub,monthly,4347.68,0.575,6,5,1,38.8,cant_remember,forget,fun
Netflix,yearly,2353.32,0.751,7,10,0,27.8,few_times_week,always_notice,nice_to_have
Wine Club,monthly,1582.99,0.939,6,3,0,24.8,daily,forget,fun
Adobe CC,monthly,707.18,0.206,10,8,1,44.1,once_twice_week,sometimes_notice,essential
Netflix,monthly,2837.58,0.066,2,1,1,71.5,daily,forget,essential
Amazon Prime,yearly,661.92,0.43,9,1,0,44.5,few_times_month,sometimes_notice,essential
Spotify,yearly,4667.6,0.724,8,8,1,26.3,cant_remember,always_notice,nice_to_have
YouTube Premium,yearly,4266.9,0.562,3,4,0,53.5,daily,sometimes_notice,fun
Educational Hub,yearly,1464.29,0.939,7,8,1,13.6,daily,always_notice,essential
Newspaper,monthly,4628.93,0.644,5,1,0,38.6,few_times_month,always_notice,essential
LinkedIn Premium,yearly,1245.94,0.505,7,3,1,37.0,few_times_month,forget,fun
Educational Hub,yearly,361.65,0.967,1,7,0,21.3,daily,always_notice,essential
YouTube Premium,yearly,1384.79,0.18,5,4,0,70.1,daily,forget,essential
Netflix,yearly,3036.58,0.831,5,6,1,30.0,daily,always_notice,fun
Gym Membership,monthly,1906.01,0.497,6,10,0,44.3,rarely,sometimes_notice,essential
Disney+,monthly,2819.14,0.036,10,7,0,69.5,rarely,forget,fun
Dating App,yearly,2855.06,0.191,7,6,1,54.6,daily,forget,fun
Disney+,monthly,4159.69,0.843,7,7,0,27.4,daily,sometimes_notice,fun
Newspaper,monthly,1122.07,0.238,8,3,0,61.3,few_times_week,sometimes_notice,nice_to_have
Zomato Gold,yearly,1854.28,0.656,5,4,1,38.3,cant_remember,forget,fun
Amazon Prime,yearly,4604.79,0.153,1,6,0,85.0,few_times_month,forget,fun
LinkedIn Premium,yearly,227.27,0.788,5,3,0,31.6,once_twice_week,sometimes_notice,nice_to_have
Cloud Storage,yearly,2895.44,0.07,9,4,0,73.1,cant_remember,forget,nice_to_have
Amazon Prime,monthly,165.32,0.679,8,5,1,23.8,few_times_week,forget,fun
Adobe CC,yearly,1502.93,0.996,8,8,0,9.6,daily,sometimes_notice,essential
Amazon Prime,yearly,3315.02,0.168,6,8,1,57.2,rarely,forget,nice_to_have
Adobe CC,monthly,3095.3,0.689,1,8,0,40.4,daily,always_notice,nice_to_have
Software License,yearly,1840.82,0.094,6,9,0,69.3,once_twice_week,forget,nice_to_have
Spotify,monthly,2337.7,0.865,7,10,0,22.3,daily,forget,essential
Gym Membership,monthly,1685.08,0.496,1,7,0,57.8,few_times_month,always_notice,essential
Zomato Gold,monthly,1892.25,0.642,2,2,1,40.7,daily,forget,essential
Netflix,yearly,2381.79,0.504,4,9,1,38.5,few_times_week,sometimes_notice,nice_to_have
YouTube Premium,yearly,2649.27,0.687,5,7,0,40.8,few_times_month,sometimes_notice,fun
Gaming Pass,monthly,3275.9,0.448,9,6,1,40.3,daily,forget,fun
Software License,yearly,2519.93,0.691,9,4,0,33.7,few_times_week,always_notice,nice_to_have
Newspaper,yearly,2580.44,0.493,5,8,0,51.7,daily,sometimes_notice,essential
Wine Club,yearly,662.87,0.286,2,4,0,65.2,rarely,sometimes_notice,nice_to_have
Spotify,monthly,2212.84,0.928,5,3,1,24.8,few_times_week,sometimes_notice,fun
Cloud Storage,monthly,4054.14,0.481,9,6,0,46.8,once_twice_week,sometimes_notice,fun
Newspaper,monthly,4534.15,0.725,4,10,0,37.2,once_twice_week,always_notice,nice_to_have
Software License,monthly,4166.16,0.282,7,7,0,62.6,rarely,always_notice,fun
Educational Hub,monthly,2080.74,0.114,3,7,0,77.4,daily,sometimes_notice,fun
Disney+,monthly,2463.44,0.683,4,6,0,40.1,daily,always_notice,essential
LinkedIn Premium,monthly,4076.43,0.694,2,7,0,37.1,daily,forget,fun
LinkedIn Premium,monthly,4057.01,0.038,9,5,1,58.6,few_times_week,forget,nice_to_have
Disney+,yearly,3184.88,0.039,3,3,0,90.0,daily,forget,essential
Cloud Storage,yearly,166.15,0.838,10,1,1,17.8,few_times_week,forget,fun
Newspaper,yearly,1668.85,0.983,5,6,0,22.5,few_times_month,forget,fun
Zomato Gold,yearly,4757.46,0.081,2,6,0,84.8,few_times_week,sometimes_notice,essential
Software License,monthly,2268.02,0.679,3,2,1,37.6,few_times_month,always_notice,fun
Zomato Gold,monthly,4689.89,0.846,9,1,0,29.4,few_times_week,always_notice,essential
Cloud Storage,yearly,2298.83,0.403,8,10,1,38.4,few_times_month,always_notice,essential
Educational Hub,yearly,3024.15,0.432,3,4,0,62.2,daily,sometimes_notice,essential
Dating App,monthly,4079.28,0.037,8,8,1,57.7,once_twice_week,always_notice,nice_to_have
Dating App,yearly,4193.26,0.303,8,6,0,60.2,cant_remember,always_notice,nice_to_have
Wine Club,yearly,552.22,0.475,10,7,0,36.9,daily,forget,essential
Educational Hub,monthly,1206.95,0.382,9,10,0,40.9,once_twice_week,forget,nice_to_have
Amazon Prime,monthly,2749.8,0.234,9,5,0,63.6,cant_remember,forget,fun
Cloud Storage,yearly,363.08,0.128,7,2,0,68.2,few_times_week,forget,essential
Educational Hub,monthly,1896.31,0.157,10,7,0,58.8,rarely,forget,fun
Wine Club,yearly,4980.62,0.935,9,10,0,14.4,rarely,forget,fun
Gym Membership,yearly,997.11,0.82,8,6,0,18.8,once_twice_week,sometimes_notice,fun
Adobe CC,monthly,1291.7,0.488,5,4,1,39.4,few_times_month,forget,fun
Software License,yearly,214.31,0.499,10,5,0,36.9,once_twice_week,sometimes_notice,fun
YouTube Premium,monthly,715.64,0.109,4,8,1,55.9,rarely,forget,essential
Zomato Gold,yearly,926.78,0.826,2,6,0,33.7,once_twice_week,forget,essential
Software License,yearly,4435.64,0.715,1,4,0,40.2,once_twice_week,sometimes_notice,essential
Software License,monthly,3693.07,0.203,9,7,0,62.6,few_times_month,forget,fun
Zomato Gold,yearly,671.19,0.708,2,7,0,38.3,cant_remember,forget,fun
Spotify,yearly,3727.05,0.228,6,9,0,66.9,few_times_month,sometimes_notice,essential
Educational Hub,yearly,2390.7,0.949,5,4,1,23.0,daily,forget,fun
Gaming Pass,monthly,4191.14,0.714,5,4,0,39.6,cant_remember,always_notice,nice_to_have
Gym Membership,yearly,1335.6,0.101,6,8,0,69.2,daily,forget,essential
LinkedIn Premium,monthly,1072.65,0.908,8,9,0,12.9,cant_remember,always_notice,fun
Wine Club,yearly,3780.74,0.636,6,5,0,40.1,few_times_week,always_notice,nice_to_have
Zomato Gold,monthly,183.04,0.853,2,7,0,25.5,cant_remember,forget,nice_to_have
Software License,monthly,1685.46,0.77,5,6,0,31.3,few_times_week,forget,nice_to_have
Software License,monthly,3259.91,0.808,3,7,1,31.0,daily,always_notice,nice_to_have
Gym Membership,yearly,3125.72,0.424,7,10,1,39.2,daily,forget,fun
YouTube Premium,yearly,2455.49,0.836,3,1,0,41.2,few_times_month,forget,nice_to_have
Dating App,yearly,4896.8,0.135,3,9,0,77.3,few_times_week,forget,essential
Gym Membership,monthly,1448.51,0.691,6,1,0,41.2,rarely,forget,nice_to_have
Gaming Pass,yearly,117.15,0.469,9,5,1,31.5,few_times_week,sometimes_notice,fun
Gym Membership,yearly,4367.43,0.625,8,9,0,39.5,cant_remember,always_notice,fun
Cloud Storage,yearly,499.08,0.873,3,3,1,24.6,cant_remember,always_notice,nice_to_have
Spotify,monthly,2947.13,0.783,6,3,1,31.6,few_times_month,sometimes_notice,fun
Cloud Storage,yearly,4544.38,0.639,8,3,0,39.3,cant_remember,sometimes_notice,essential
Amazon Prime,yearly,3231.38,0.799,10,3,1,23.2,rarely,sometimes_notice,nice_to_have
Wine Club,yearly,1739.61,0.057,3,10,1,60.2,rarely,forget,nice_to_have
LinkedIn Premium,yearly,169.44,0.515,7,10,0,34.9,rarely,sometimes_notice,essential
LinkedIn Premium,yearly,323.72,0.372,1,8,1,48.5,once_twice_week,always_notice,fun
YouTube Premium,monthly,1739.04,0.06,1,2,1,70.6,daily,always_notice,essential
Zomato Gold,monthly,2283.08,0.718,4,8,0,37.6,once_twice_week,sometimes_notice,fun
Zomato Gold,monthly,2250.81,0.588,1,4,0,57.4,rarely,forget,nice_to_have
Cloud Storage,yearly,1040.94,0.189,1,3,1,60.1,few_times_week,forget,essential
Educational Hub,yearly,446.96,0.043,7,1,0,72.0,once_twice_week,forget,nice_to_have
Educational Hub,monthly,2802.95,0.753,7,9,0,30.1,cant_remember,always_notice,fun
Gym Membership,monthly,2667.28,0.247,9,10,1,46.5,rarely,forget,fun
Netflix,monthly,3320.01,0.618,3,4,0,39.4,daily,forget,fun
Wine Club,monthly,4424.1,0.384,7,8,1,42.4,few_times_month,forget,nice_to_have
Educational Hub,yearly,1262.24,0.953,2,9,0,23.8,few_times_month,forget,fun
Netflix,yearly,3500.06,0.097,3,7,0,81.2,cant_remember,forget,nice_to_have
YouTube Premium,monthly,3375.63,0.389,6,2,0,62.1,few_times_week,sometimes_notice,essential
Dating App,monthly,554.64,0.187,3,9,0,67.5,once_twice_week,forget,essential
Educational Hub,monthly,4696.52,0.22,10,8,0,56.6,rarely,always_notice,nice_to_have
Spotify,yearly,1315.42,0.655,5,9,0,35.8,few_times_week,sometimes_notice,nice_to_have
Cloud Storage,monthly,1299.13,0.481,2,3,1,45.4,once_twice_week,forget,nice_to_have
Software License,monthly,3213.02,0.567,2,2,0,61.0,few_times_week,sometimes_notice,fun
Software License,monthly,3905.54,0.307,10,6,0,56.1,rarely,sometimes_notice,fun
Adobe CC,monthly,489.03,0.707,1,3,0,38.6,once_twice_week,sometimes_notice,nice_to_have
Dating App,monthly,3134.55,0.734,10,10,0,27.6,few_times_month,always_notice,essential
Cloud Storage,yearly,2851.48,0.33,3,2,1,56.9,cant_remember,always_notice,nice_to_have
Software License,monthly,446.19,0.423,1,7,0,55.3,few_times_month,always_notice,essential
LinkedIn Premium,monthly,405.66,0.078,10,10,0,57.2,few_times_month,sometimes_notice,fun
YouTube Premium,monthly,854.88,0.407,3,2,0,64.9,rarely,sometimes_notice,fun
Newspaper,monthly,3037.91,0.302,4,1,0,70.5,cant_remember,sometimes_notice,essential
Gaming Pass,yearly,3587.64,0.901,3,4,1,29.6,cant_remember,sometimes_notice,fun
Cloud Storage,yearly,610.78,0.416,8,6,1,38.2,rarely,forget,essential
Newspaper,monthly,2065.48,0.835,1,3,1,33.2,daily,always_notice,essential
Gym Membership,yearly,786.62,0.426,8,9,0,42.5,few_times_week,forget,nice_to_have
Newspaper,monthly,4266.62,0.174,5,1,1,63.3,few_times_month,forget,nice_to_have
Spotify,monthly,3295.66,0.959,5,9,1,19.8,few_times_month,always_notice,fun
Wine Club,monthly,370.33,0.86,1,2,0,33.5,few_times_month,forget,essential
Disney+,yearly,4504.42,0.239,4,7,1,57.8,few_times_week,sometimes_notice,fun
Amazon Prime,monthly,3642.93,0.264,3,8,1,57.1,few_times_week,forget,nice_to_have
Amazon Prime,yearly,1048.99,0.689,1,4,0,40.0,cant_remember,always_notice,essential
Software License,monthly,3989.92,0.007,4,1,1,73.2,cant_remember,forget,essential
Educational Hub,yearly,495.79,0.575,6,5,0,39.9,cant_remember,forget,fun
LinkedIn Premium,yearly,4879.39,0.825,9,10,0,21.1,cant_remember,always_notice,fun
Adobe CC,yearly,1628.28,0.437,2,5,0,60.3,rarely,forget,nice_to_have
Gaming Pass,yearly,1450.46,0.163,7,3,0,64.0,once_twice_week,sometimes_notice,nice_to_have
Software License,monthly,4789.95,0.509,5,7,0,52.2,rarely,always_notice,fun
Software License,monthly,4583.39,0.217,9,9,0,57.7,daily,sometimes_notice,fun
Software License,monthly,2433.31,0.722,1,4,0,40.0,daily,always_notice,fun
Newspaper,monthly,404.16,0.852,2,1,0,34.5,cant_remember,always_notice,essential
Spotify,monthly,3325.2,0.652,2,2,0,41.0,cant_remember,sometimes_notice,essential
Disney+,monthly,1768.77,0.016,7,7,1,61.6,rarely,always_notice,nice_to_have
Amazon Prime,monthly,3675.91,0.379,10,8,0,48.3,daily,forget,nice_to_have
LinkedIn Premium,yearly,3395.54,0.271,1,2,0,80.2,once_twice_week,forget,essential
LinkedIn Premium,yearly,4109.53,0.873,1,10,1,29.5,once_twice_week,sometimes_notice,fun
Newspaper,yearly,4608.3,0.085,6,4,0,78.7,few_times_week,sometimes_notice,fun
Disney+,yearly,1960.95,0.188,8,8,0,61.8,few_times_month,sometimes_notice,nice_to_have
Cloud Storage,yearly,223.63,0.383,4,5,0,53.5,cant_remember,forget,nice_to_have
Zomato Gold,yearly,1863.67,0.381,3,3,0,63.9,rarely,always_notice,fun
Software License,monthly,1407.53,0.857,2,5,0,36.4,once_twice_week,always_notice,essential
Spotify,monthly,1704.29,0.368,5,6,1,42.2,few_times_month,sometimes_notice,fun
Newspaper,yearly,3015.93,0.282,8,7,1,48.1,daily,forget,nice_to_have
Newspaper,yearly,3918.56,0.493,7,3,0,54.1,rarely,forget,nice_to_have
Educational Hub,monthly,4067.18,0.06,2,6,1,68.2,once_twice_week,always_notice,fun
YouTube Premium,monthly,3455.95,0.221,2,8,0,73.7,daily,forget,essential
Wine Club,monthly,3030.57,0.596,9,1,0,44.6,few_times_week,sometimes_notice,fun
Spotify,monthly,449.02,0.37,2,3,1,48.8,daily,forget,fun
Spotify,monthly,1558.31,0.812,5,7,0,29.4,cant_remember,sometimes_notice,essential
Gaming Pass,monthly,1920.14,0.892,10,2,0,17.8,few_times_week,forget,nice_to_have
LinkedIn Premium,monthly,4141.91,0.746,6,4,0,35.6,rarely,sometimes_notice,essential
Dating App,yearly,3374.6,0.811,3,4,0,41.6,few_times_week,always_notice,fun
Adobe CC,yearly,418.11,0.266,3,7,0,64.2,rarely,sometimes_notice,nice_to_have
Gym Membership,yearly,3580.5,0.792,2,2,1,37.2,rarely,forget,nice_to_have
Amazon Prime,yearly,2137.16,0.552,8,1,0,48.8,once_twice_week,always_notice,nice_to_have
Gym Membership,monthly,4294.42,0.943,2,7,1,23.8,few_times_month,forget,essential
Educational Hub,yearly,600.6,0.896,8,10,0,12.1,daily,forget,nice_to_have
Adobe CC,monthly,3048.71,0.045,4,1,0,88.7,cant_remember,forget,essential
Cloud Storage,monthly,4910.67,0.786,8,10,1,22.3,few_times_week,always_notice,fun
YouTube Premium,yearly,4885.57,0.742,4,10,0,36.8,once_twice_week,forget,fun
YouTube Premium,yearly,4104.61,0.392,3,6,0,64.2,rarely,sometimes_notice,fun
Software License,yearly,1257.06,0.811,3,6,0,33.0,few_times_week,sometimes_notice,fun
Dating App,monthly,2832.8,0.363,4,8,0,63.1,few_times_month,always_notice,fun
Disney+,yearly,3126.19,0.557,6,8,1,36.9,few_times_month,sometimes_notice,essential
Cloud Storage,yearly,166.81,0.733,10,9,0,18.1,rarely,always_notice,essential
Spotify,yearly,4041.92,0.222,4,8,1,57.7,daily,forget,essential
LinkedIn Premium,monthly,4997.61,0.048,10,3,0,76.2,few_times_month,always_notice,essential
Gym Membership,yearly,1372.42,0.572,1,9,0,51.9,cant_remember,always_notice,essential
Newspaper,yearly,4775.31,0.404,1,10,0,63.1,few_times_month,forget,essential
Newspaper,yearly,4940.04,0.847,5,7,1,26.0,cant_remember,sometimes_notice,fun
Dating App,monthly,1748.85,0.778,6,1,0,39.8,few_times_month,forget,essential
Wine Club,yearly,559.54,0.633,5,2,0,41.1,daily,forget,essential
Zomato Gold,monthly,4194.92,0.277,1,8,0,74.9,once_twice_week,always_notice,fun
Spotify,yearly,1564.65,0.812,9,5,0,23.0,daily,sometimes_notice,fun
Cloud Storage,yearly,3230.49,0.668,3,1,1,41.5,few_times_month,forget,essential
Disney+,yearly,3780.9,0.812,4,6,0,34.3,once_twice_week,always_notice,essential
Amazon Prime,yearly,861.42,0.021,3,2,0,83.7,once_twice_week,always_notice,nice_to_have
Amazon Prime,monthly,4245.58,0.383,8,2,0,56.4,rarely,forget,essential
Cloud Storage,yearly,4704.46,0.799,8,5,0,32.2,cant_remember,forget,essential
LinkedIn Premium,monthly,1380.39,0.875,10,5,0,17.1,cant_remember,sometimes_notice,fun
Gaming Pass,monthly,1113.28,0.366,9,7,1,36.8,once_twice_week,sometimes_notice,fun
LinkedIn Premium,monthly,145.09,0.045,6,1,0,72.8,daily,always_notice,essential
LinkedIn Premium,monthly,2058.37,0.69,1,10,0,40.4,few_times_month,always_notice,fun
Cloud Storage,yearly,2886.37,0.049,7,8,0,72.9,few_times_month,sometimes_notice,essential
Wine Club,monthly,1346.78,0.698,7,2,0,37.3,daily,sometimes_notice,essential
Educational Hub,monthly,397.65,0.252,5,10,0,56.8,daily,sometimes_notice,essential
Cloud Storage,yearly,4406.39,0.534,6,3,0,52.4,once_twice_week,forget,fun
Netflix,monthly,4011.73,0.276,8,7,0,60.5,few_times_month,forget,fun
YouTube Premium,yearly,4051.94,0.057,1,6,1,74.0,few_times_week,forget,essential
Cloud Storage,monthly,4273.36,0.174,7,3,0,71.9,few_times_week,forget,fun
Disney+,monthly,4699.14,0.346,7,8,1,46.1,rarely,forget,essential
Disney+,yearly,3623.67,0.265,10,3,0,61.9,rarely,sometimes_notice,nice_to_have
Gaming Pass,yearly,2503.92,0.651,7,3,0,40.6,cant_remember,always_notice,nice_to_have
Gym Membership,yearly,3056.99,0.872,4,2,0,36.5,once_twice_week,sometimes_notice,fun
